gene,mean,variance
1553441_at,3.9634883887448833,5.755243839925346
1555102_at,4.008199189489765,5.398271840602337
1555756_a_at,7.224064356297942,4.3025097894999345
1555745_a_at,10.86645028856238,4.270999380768395
1556395_at,5.077467648999987,3.964753884405019
1556598_at,4.283271228577281,3.9462228513968474
1553808_a_at,6.037001823620104,3.8158746695836765
1554764_a_at,4.142523770495353,3.760077151504327
1553963_at,4.138007569378031,3.7286898551339114
1555412_at,4.152174236044699,3.6746320293601165
1557636_a_at,4.185781126175054,3.6357331543294356
1555939_at,4.18245207589572,3.5026963703841814
1554920_at,4.220843137348239,3.465050357406133
1556366_s_at,4.180592154566116,3.402348930141624
1555928_at,4.198407755597773,3.3482686336151506
1552661_at,4.253615883962764,3.2559398478183867
1555111_at,4.215763621519558,3.2288134099549457
1557017_at,4.227066414815647,3.222939535125582
1554892_a_at,7.051466732765363,3.196944975572707
1552972_at,4.223855838165741,3.1922729074849627
1559265_at,4.379812862443205,3.164306722942521
1559483_at,4.1987317779441415,3.110355836229256
1552521_a_at,4.2364601557672295,3.0069483959263468
1557627_at,4.2288762844618315,2.9422807440445595
1557692_a_at,4.232955427851031,2.923663120283696
1553886_at,4.2386963961936726,2.9071612714808097
1554723_x_at,4.266817439024216,2.8875890888956843
1554354_at,4.274484291910621,2.8765686641821957
1559477_s_at,6.709909932728107,2.8634400970129352
1556300_s_at,4.284698817050289,2.84955596569475
1557741_at,4.252525446473007,2.8453702741897393
1555504_at,4.256855614070769,2.835440357230634
1554507_at,4.284957724180636,2.8344028547540954
1559502_s_at,6.874385282635003,2.8251974611081097
1555167_s_at,6.7017100565325824,2.82066444217221
1554899_s_at,9.191019453033519,2.8123378004456154
1559147_at,4.364689819707639,2.8096560177742416
1553183_at,5.70877388511172,2.7816671634558894
1553546_at,4.27228969228306,2.763891782634381
1553362_at,4.291393044238368,2.7609325409877337
1552771_a_at,4.244130660625702,2.7479141307397423
1554997_a_at,6.355019933515821,2.730488904774938
1555800_at,4.249022280737438,2.726824631362181
1553320_s_at,4.312263435299822,2.7001458196653867
1556759_at,4.285949903296095,2.678767898715139
1558667_at,4.277891740700189,2.649139002420124
1556288_at,4.2560139008491635,2.6353049769335146
1554131_at,4.304400306808203,2.632296145637495
1553276_at,4.2855542527355714,2.6111056381036497
1554142_at,4.307835316119186,2.578387461700836
1558387_at,4.309306265839857,2.5715287691904054
1553344_at,4.294020046100566,2.571371782561348
1554884_at,4.277676843121046,2.5677175839025335
1553636_at,4.279056917608945,2.550529794909848
1559264_at,4.267893044238365,2.5428164070017805
1553830_s_at,4.280140530271885,2.5243892535573837
1557326_at,4.30203564280075,2.514367011086898
1555214_a_at,5.407001147642451,2.4873850804964857
1553765_a_at,4.3158710703091305,2.485543744128606
1555601_at,4.293513714629427,2.480136804538109
1557534_at,4.869313328949715,2.464539934267934
1557765_at,4.339310362674123,2.4411042620972307
1555710_at,4.298649655039113,2.432799974699401
1556351_at,4.328038854294231,2.4255449447473496
1553613_s_at,5.368136891711354,2.417142319746404
1557475_at,4.3361792642681625,2.4065110549038677
1405_i_at,7.8384439079162,2.3957160006759053
1554190_s_at,4.302873863605223,2.3884537766589293
1557849_at,4.323030474405969,2.3680652101382833
1555444_a_at,4.3104057071806405,2.359463052755946
1553482_at,4.291265297497213,2.3580549115889298
1553822_at,4.313262131761649,2.3511831153153597
1557746_at,4.329225074033527,2.3468306279892484
1559506_x_at,4.329037361160157,2.321850026959403
1552367_a_at,4.305711737612671,2.312121255240541
1555602_a_at,4.299117066584737,2.3032503734547602
1555527_at,4.318232895262576,2.297167654260065
1559213_at,4.326337923195532,2.2908549954722734
1556034_s_at,5.639837735541889,2.2852578510398027
1554492_at,4.332827681109875,2.279600252914431
1554600_s_at,7.615026124446925,2.267841815130111
1559653_at,4.3655250740335285,2.260124582874903
1554679_a_at,7.140245943007443,2.257318540218255
1552487_a_at,4.338257848707637,2.25352753857684
1554012_at,4.336585409229058,2.2420925010394392
1557180_at,4.365009245355687,2.241902758558622
1553448_at,4.3084505861378055,2.239876224346159
1552993_at,4.329760642003735,2.2380050357281784
1555033_a_at,4.3085589660260775,2.2370550325253813
1555794_at,4.365215018167604,2.235456610478173
1559504_at,4.361887245523285,2.2332154506750523
1555038_at,4.318790809601496,2.2272769300772732
1556592_at,4.341331591724404,2.2071856587067358
1559341_at,4.333395805461833,2.2009552837964694
1558871_at,5.974655044584715,2.1895339601579846
1552990_at,4.315943509787719,2.1763428105144835
1552906_at,4.353978332878961,2.174123462473601
1555503_a_at,6.194831877214141,2.167379631841693
1559543_at,4.37009641846556,2.162844893119915
1553620_at,4.3215887611843655,2.149374694974468
